-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                triton_poi_fused_relu_1         0.00%       0.000us         0.00%       0.000us       0.000us       2.519ms         8.38%       2.519ms      69.968us           0 B           0 B           0 B           0 B            36  
                                triton_poi_fused_relu_1         0.27%     160.778us         0.38%     226.155us      18.846us       2.484ms         8.26%       2.484ms     206.998us           0 B           0 B           0 B           0 B            12  
sm80_xmma_gemm_f16f16_f16f32_f32_tn_n_tilesize160x12...         0.00%       0.000us         0.00%       0.000us       0.000us       2.142ms         7.12%       2.142ms     178.494us           0 B           0 B           0 B           0 B            12  
void flash::flash_fwd_splitkv_kernel<Flash_fwd_kerne...         0.00%       0.000us         0.00%       0.000us       0.000us       1.740ms         5.79%       1.740ms      72.515us           0 B           0 B           0 B           0 B            24  
               triton_per_fused_add_native_layer_norm_2         0.00%       0.000us         0.00%       0.000us       0.000us       1.609ms         5.35%       1.609ms      44.699us           0 B           0 B           0 B           0 B            36  
               triton_per_fused_add_native_layer_norm_2         0.35%     208.734us         0.46%     272.124us      22.677us       1.548ms         5.15%       1.548ms     128.977us           0 B           0 B           0 B           0 B            12  
## Call CompiledFxGraph faopanmyvsr465jqcgzholwniy7m...         0.00%       0.000us         0.00%       0.000us       0.000us       1.497ms         4.98%       1.497ms       1.497ms           0 B           0 B           0 B           0 B             1  
void vllm::reshape_and_cache_flash_kernel<unsigned s...         0.00%       0.000us         0.00%       0.000us       0.000us       1.411ms         4.69%       1.411ms      39.205us           0 B           0 B           0 B           0 B            36  
                  _C_cache_ops::reshape_and_cache_flash         0.30%     178.263us         0.49%     294.144us      24.512us       1.342ms         4.46%       1.342ms     111.856us           0 B           0 B           0 B           0 B            12  
               triton_per_fused_add_native_layer_norm_0         0.00%       0.000us         0.00%       0.000us       0.000us     977.505us         3.25%     977.505us      27.153us           0 B           0 B           0 B           0 B            36  
               triton_per_fused_add_native_layer_norm_0         0.47%     281.266us         0.61%     363.374us      30.281us     920.258us         3.06%     920.258us      76.688us           0 B           0 B           0 B           0 B            12  
ampere_fp16_s16816gemm_fp16_64x64_sliced1x2_ldg8_rel...         0.00%       0.000us         0.00%       0.000us       0.000us     657.315us         2.19%     657.315us      13.694us           0 B           0 B           0 B           0 B            48  
                                               aten::mm         0.90%     537.179us         1.05%     623.322us     207.774us     512.353us         1.70%     686.338us     228.779us           0 B           0 B       5.02 MB       5.02 MB             3  
void cutlass::Kernel2<cutlass_80_tensorop_f16_s16816...         0.00%       0.000us         0.00%       0.000us       0.000us     512.353us         1.70%     512.353us     170.784us           0 B           0 B           0 B           0 B             3  
## Call CompiledFxGraph fhyawgi54edkfw5ccqcckwezpafi...         0.00%       0.000us         0.00%       0.000us       0.000us     473.345us         1.57%     473.345us     473.345us           0 B           0 B           0 B           0 B             1  
                                  Lazy Function Loading         0.81%     484.512us         0.81%     484.512us      69.216us     434.434us         1.45%     434.434us      62.062us           0 B           0 B           0 B           0 B             7  
void cutlass::Kernel2<cutlass_80_tensorop_f16_s16816...         0.00%       0.000us         0.00%       0.000us       0.000us     329.824us         1.10%     329.824us      13.743us           0 B           0 B           0 B           0 B            24  
                                          ProfilerStep*         0.00%       0.000us         0.00%       0.000us       0.000us     267.520us         0.89%     267.520us      44.587us           0 B           0 B           0 B           0 B             6  
                       Runtime Triggered Module Loading        12.81%       7.631ms        12.81%       7.631ms       2.544ms     254.656us         0.85%     254.656us      84.885us           0 B           0 B           0 B           0 B             3  
void cutlass::Kernel2<cutlass_80_wmma_tensorop_f16_s...         0.00%       0.000us         0.00%       0.000us       0.000us     178.658us         0.59%     178.658us       7.444us           0 B           0 B           0 B           0 B            24  
                                            aten::copy_         0.67%     399.526us         1.41%     838.550us      17.113us      97.438us         0.32%      97.438us       1.989us           0 B           0 B           0 B           0 B            49  
triton_per_fused__to_copy_add_embedding_native_layer...         0.00%       0.000us         0.00%       0.000us       0.000us      84.736us         0.28%      84.736us      28.245us           0 B           0 B           0 B           0 B             3  
triton_per_fused__to_copy_add_embedding_native_layer...         0.07%      39.913us         0.09%      56.091us      56.091us      77.600us         0.26%      77.600us      77.600us           0 B           0 B           0 B           0 B             1  
                                         aten::_softmax         0.05%      31.878us         0.09%      51.642us      17.214us      70.432us         0.23%      70.432us      23.477us           0 B           0 B       9.21 MB       9.21 MB             3  
void at::native::(anonymous namespace)::cunn_SoftMax...         0.00%       0.000us         0.00%       0.000us       0.000us      70.432us         0.23%      70.432us      23.477us           0 B           0 B           0 B           0 B             3  
void cublasLt::splitKreduce_kernel<32, 16, int, __ha...         0.00%       0.000us         0.00%       0.000us       0.000us      63.231us         0.21%      63.231us       2.635us           0 B           0 B           0 B           0 B            24  
                                             aten::div_         0.08%      50.541us         0.15%      88.459us      14.743us      57.376us         0.19%      57.376us       9.563us           0 B           0 B           0 B           0 B             6  
                                           aten::argmax         0.09%      51.525us         0.12%      72.530us      24.177us      56.192us         0.19%      56.192us      18.731us           0 B           0 B       1.50 KB       1.50 KB             3  
void at::native::reduce_kernel<512, 1, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us      56.192us         0.19%      56.192us      18.731us           0 B           0 B           0 B           0 B             3  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      35.039us         0.12%      35.039us      11.680us           0 B           0 B           0 B           0 B             3  
void at::native::elementwise_kernel<128, 4, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us      32.415us         0.11%      32.415us      10.805us           0 B           0 B           0 B           0 B             3  
                         Memcpy HtoD (Pinned -> Device)         0.00%       0.000us         0.00%       0.000us       0.000us      26.494us         0.09%      26.494us       1.152us           0 B           0 B           0 B           0 B            23  
                                     aten::exponential_         0.06%      32.779us         0.10%      59.087us      19.696us      24.223us         0.08%      24.223us       8.074us           0 B           0 B           0 B           0 B             3  
void at::native::(anonymous namespace)::distribution...         0.00%       0.000us         0.00%       0.000us       0.000us      24.223us         0.08%      24.223us       8.074us           0 B           0 B           0 B           0 B             3  
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us      22.337us         0.07%      22.337us       7.446us           0 B           0 B           0 B           0 B             3  
                                            aten::index         0.29%     173.844us         0.88%     525.073us      87.512us      19.071us         0.06%      32.830us       5.472us           0 B           0 B     105.00 KB     103.50 KB             6  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us      16.288us         0.05%      16.288us       2.715us           0 B           0 B           0 B           0 B             6  
void at::native::index_elementwise_kernel<128, 4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      12.128us         0.04%      12.128us       4.043us           0 B           0 B           0 B           0 B             3  
                         Memcpy DtoD (Device -> Device)         0.00%       0.000us         0.00%       0.000us       0.000us      11.521us         0.04%      11.521us       1.440us           0 B           0 B           0 B           0 B             8  
                                              aten::add         0.20%     116.644us        10.47%       6.236ms     692.924us      10.208us         0.03%      17.473us       1.941us           0 B           0 B      66.50 KB      66.50 KB             9  
                           _compute_slot_mapping_kernel         0.00%       0.000us         0.00%       0.000us       0.000us       9.792us         0.03%       9.792us       3.264us           0 B           0 B           0 B           0 B             3  
                                            aten::fill_         0.14%      83.391us         0.28%     169.388us       9.410us       8.577us         0.03%       8.577us       0.476us           0 B           0 B           0 B           0 B            18  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       8.577us         0.03%       8.577us       1.429us           0 B           0 B           0 B           0 B             6  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us       7.233us         0.02%       7.233us       2.411us           0 B           0 B           0 B           0 B             3  
void at::native::vectorized_gather_kernel<16, long>(...         0.00%       0.000us         0.00%       0.000us       0.000us       6.943us         0.02%       6.943us       2.314us           0 B           0 B           0 B           0 B             3  
void at::native::vectorized_elementwise_kernel<2, at...         0.00%       0.000us         0.00%       0.000us       0.000us       5.568us         0.02%       5.568us       1.856us           0 B           0 B           0 B           0 B             3  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       4.640us         0.02%       4.640us       1.547us           0 B           0 B           0 B           0 B             3  
                                              aten::sub         0.09%      52.433us         0.17%      98.710us      32.903us       4.224us         0.01%       5.504us       1.835us           0 B           0 B       1.50 KB       1.50 KB             3  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us       4.224us         0.01%       4.224us       1.408us           0 B           0 B           0 B           0 B             3  
                         Memcpy DtoH (Device -> Pinned)         0.00%       0.000us         0.00%       0.000us       0.000us       3.487us         0.01%       3.487us       1.162us           0 B           0 B           0 B           0 B             3  
                                          ProfilerStep*        20.57%      12.254ms        99.85%      59.475ms      19.825ms       0.000us         0.00%      27.544ms       9.181ms           0 B           0 B         512 B     -44.70 MB             3  
               execute_context_16(8192)_generation_0(0)        21.21%      12.631ms        54.91%      32.707ms      32.707ms       0.000us         0.00%      26.897ms      26.897ms           0 B         -16 B      13.70 MB    -720.72 MB             1  
                                Activity Buffer Request         1.64%     976.045us         1.64%     976.045us     976.045us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B             1  
                                   cudaEventSynchronize        15.14%       9.018ms        15.14%       9.018ms       1.804ms       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B             5  
                                            aten::slice         0.77%     461.231us         0.96%     570.176us       3.477us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B           164  
                                       aten::as_strided         0.37%     218.412us         0.37%     218.412us       0.815us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B           268  
                                  cudaStreamIsCapturing         0.07%      39.023us         0.07%      39.023us       0.929us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B            42  
                                        cudaMemcpyAsync         0.49%     292.299us         0.49%     292.299us       8.597us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B            34  
                                       aten::lift_fresh         0.01%       3.643us         0.01%       3.643us       0.405us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B             9  
                                          aten::flatten         0.03%      17.076us         0.05%      31.042us      10.347us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B             3  
                                             aten::view         0.05%      29.325us         0.05%      29.325us       2.444us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B            12  
                                     aten::index_select         0.04%      26.666us         0.04%      26.666us       8.889us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B             3  
                                           aten::detach         0.02%      13.383us         0.02%      13.383us       2.231us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B             6  
                                               aten::to         0.08%      45.726us         1.07%     639.790us      23.696us       0.000us         0.00%      59.423us       2.201us           0 B           0 B       9.27 MB           0 B            27  
                                     aten::resolve_conj         0.01%       3.847us         0.01%       3.847us       0.481us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B             8  
                                      aten::resolve_neg         0.00%       2.012us         0.00%       2.012us       0.252us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B             8  
                                       cudaLaunchKernel         1.39%     827.888us        11.77%       7.012ms      73.042us       0.000us         0.00%      13.601us       0.142us           0 B           0 B           0 B           0 B            96  
                                          aten::reshape         0.02%       9.617us         0.03%      20.829us       3.472us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B             6  
                                         aten::_to_copy         0.19%     113.025us         1.00%     594.064us      39.604us       0.000us         0.00%      59.423us       3.962us           0 B           0 B       9.27 MB           0 B            15  
                                    aten::empty_strided         0.33%     193.764us         0.40%     239.318us       8.864us       0.000us         0.00%       0.000us       0.000us           0 B           0 B       9.28 MB       9.28 MB            27  
                                       cuLaunchKernelEx         0.05%      27.325us         0.05%      27.325us       9.108us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B             3  
                                               aten::lt         0.04%      23.055us         0.04%      23.055us       7.685us       0.000us         0.00%       0.000us       0.000us          48 B          48 B           0 B           0 B             3  
                                        cudaEventRecord         0.03%      18.029us         0.03%      18.029us       3.005us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B             6  
                                      Pregraph bytecode         0.17%     102.552us         0.17%     102.552us     102.552us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B             1  
                 AOTDispatcher Runtime Wrapper Prologue         0.26%     157.549us         0.26%     157.549us      12.119us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B            13  
## Call CompiledFxGraph fhyawgi54edkfw5ccqcckwezpafi...         0.35%     206.336us         0.60%     356.888us     356.888us       0.000us         0.00%     408.705us     408.705us           0 B           0 B      60.56 MB      60.56 MB             1  
                                         cuLaunchKernel         0.53%     318.503us         0.53%     318.503us       6.125us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B            52  
                          vllm::unified_kv_cache_update         0.93%     554.796us         1.88%       1.117ms      93.076us       0.000us         0.00%       1.342ms     111.856us           0 B           0 B           0 B           0 B            12  
                                           aten::unbind         0.21%     125.679us         0.55%     328.976us      13.707us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B            24  
                                           aten::select         0.25%     148.509us         0.35%     209.904us       4.198us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B            50  
                                            aten::empty         0.26%     152.304us         0.26%     152.304us       3.905us       0.000us         0.00%       0.000us       0.000us           0 B           0 B      13.71 MB      13.71 MB            39  
                    vllm::unified_attention_with_output         2.08%       1.238ms         7.26%       4.323ms     360.229us       0.000us         0.00%       3.561ms     296.752us           0 B           0 B           0 B      -4.51 MB            12  
                                           aten::expand         0.18%     108.676us         0.23%     134.864us       3.746us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B            36  
                                       aten::empty_like         0.06%      34.653us         0.18%     107.134us       8.928us       0.000us         0.00%       0.000us       0.000us           0 B           0 B       6.00 KB           0 B            12  
                                 cudaDeviceGetAttribute         0.04%      21.253us         0.04%      21.253us       0.545us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B            39  
                                   cudaFuncSetAttribute         0.66%     390.927us         3.76%       2.239ms     186.584us       0.000us         0.00%     501.504us      41.792us           0 B           0 B           0 B           0 B            12  
## Call CompiledFxGraph ftftmnotujmsfvo2i5qzzgp265jq...         4.26%       2.535ms         8.15%       4.854ms     441.286us       0.000us         0.00%      19.692ms       1.790ms           0 B           0 B     660.00 MB     660.00 MB            11  
                                  cudaFuncGetAttributes         0.08%      45.081us         0.08%      45.081us       3.757us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B            12  
                                    cudaLaunchKernelExC         0.23%     139.513us         0.23%     139.513us      11.626us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B            12  
          cudaOccupancyMaxActiveBlocksPerMultiprocessor         0.03%      19.208us         0.03%      19.208us       1.601us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B            12  
                                        cudaMemsetAsync         0.01%       3.914us         0.01%       3.914us       0.326us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B            12  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 59.563ms
Self CUDA time total: 30.064ms

