Generating SQLite file /scratch/deepseek-prof/profiles/nsys/serve_decode_heavy_c8_ks-testdlaembeddinggen_105108.sqlite from /scratch/deepseek-prof/profiles/nsys/serve_decode_heavy_c8_ks-testdlaembeddinggen_105108.nsys-rep
Processing [/scratch/deepseek-prof/profiles/nsys/serve_decode_heavy_c8_ks-testdlaembeddinggen_105108.sqlite] with [/opt/nvidia/nsight-systems/2026.1.3/target-linux-x64/reports/cuda_gpu_kern_sum.py]... 

 ** CUDA GPU Kernel Summary (cuda_gpu_kern_sum):

 Time (%)  Total Time (ns)  Instances  Avg (ns)   Med (ns)   Min (ns)  Max (ns)  StdDev (ns)                                                  Name                                                
Processing [/scratch/deepseek-prof/profiles/nsys/serve_decode_heavy_c8_ks-testdlaembeddinggen_105108.sqlite] with [/opt/nvidia/nsight-systems/2026.1.3/target-linux-x64/reports/cuda_api_sum.py]... 

 ** CUDA API Summary (cuda_api_sum):

 Time (%)  Total Time (ns)  Num Calls  Avg (ns)   Med (ns)   Min (ns)  Max (ns)   StdDev (ns)                 Name                
 --------  ---------------  ---------  ---------  ---------  --------  ---------  -----------  -----------------------------------
     29.6        199892678      16270    12286.0     5858.5      1005   11471128     210670.0  cudaLaunchKernel                   
     19.1        129291022         13  9945463.2    22852.0      6763  128955175   35757975.2  cudaMemGetInfo                     
     10.9         73459950        726   101184.5    65208.5     32638    1980088     132874.8  cudaGraphInstantiateWithFlags      
      8.6         58250967       4473    13022.8     6975.0      3430    7468623     117076.8  cudaMemcpyAsync                    
      5.5         37313346       9861     3783.9     4590.0       674    1430863      14653.3  cuLaunchKernel                     
      2.9         19702616         15  1313507.7  1319990.0    206160    2752689     924737.2  cuLibraryLoadData                  
      2.9         19383365        368    52672.2    52771.0     19461     128352       8677.7  cudaGraphLaunch                    
      2.6         17400052        824    21116.6    19722.5      8859     369136      16356.5  cudaDeviceSynchronize              
      2.6         17311098         93   186140.8   100983.0     77439    1706460     267945.2  cudaFree                           
      2.5         16818784        134   125513.3   111608.0      3915     309883      42140.7  cudaMalloc                         
      2.4         16476100          8  2059512.5  2055372.0   2038695    2095330      19700.1  cudaGetDeviceProperties            
      2.0         13620292       2292     5942.5     5625.5      1280    1339272      28034.1  cudaLaunchKernelExC                
      1.0          6737092       3127     2154.5      708.0       379    2481422      50690.0  cuKernelGetFunction                
      0.8          5444692       8184      665.3      623.0       398      13800        343.0  cudaStreamGetCaptureInfo_v2        
      0.8          5354601       6417      834.4      755.0       372      11815        531.5  cudaStreamIsCapturing              
      0.6          4183062        726     5761.8     5581.5      4628      17656       1299.1  cudaStreamBeginCapture             
      0.6          3732151        726     5140.7     3659.0      2257      46085       6006.9  cudaGraphDestroy                   
      0.5          3470040        283    12261.6     4261.0      3473     159049      15674.2  cudaStreamSynchronize              
      0.5          3437174        867     3964.4     3650.0      2828      31119       1449.3  cudaEventSynchronize               
      0.5          3053612       2136     1429.6      467.0       207      18917       2156.4  cudaMemsetAsync                    
      0.4          2873016        869     3306.1     2940.0      1605      27508       1848.3  cudaEventRecord                    
      0.4          2536233        346     7330.2     7027.5      6174      24205       1805.3  cuLaunchKernelEx                   
      0.3          2328725         31    75120.2     6117.0      2937    1331217     271131.5  cudaHostAlloc                      
      0.3          1771788        687     2579.0     2922.0      1610      14028       1008.1  cudaEventRecordWithFlags           
      0.2          1559477        128    12183.4     1884.0      1592     328442      44562.6  cudaStreamCreateWithPriority       
      0.2          1301168        708     1837.8     1761.5       401      13344       1108.3  cudaEventCreateWithFlags           
      0.2          1299252        726     1789.6     1476.0      1259      12089       1305.2  cudaStreamEndCapture               
      0.2          1271089        341     3727.5     3668.0      3229      16876        737.7  cudaEventQuery                     
      0.2          1262388       3108      406.2      361.0       224      13922        475.8  cuKernelGetName                    
      0.2          1238732          2   619366.0   619366.0     90227    1148505     748315.6  cuModuleLoadData                   
      0.1           968140          7   138305.7   127529.0     63125     235183      63897.3  cuModuleLoad                       
      0.1           940261        345     2725.4     2556.0      2421      13596       1154.4  cudaStreamWaitEvent                
      0.1           821785        687     1196.2     1149.0       986       9390        396.2  cudaEventDestroy                   
      0.1           620027         28    22143.8    12831.0      6959     131087      28287.4  cudaGraphExecDestroy               
      0.1           594730        726      819.2      792.0       683       1549        127.8  cudaGraphGetNodes                  
      0.1           422455       1785      236.7      180.0       116      10508        331.8  cuGetProcAddress_v2                
      0.0            64071         23     2785.7     2120.0       511       6219       1988.4  cuLibraryGetKernel                 
      0.0            12631          6     2105.2     2090.0      1068       2940        689.9  cuInit                             
      0.0            12034         16      752.1      742.5       400       1174        202.5  cudaThreadExchangeStreamCaptureMode
      0.0             4559          4     1139.8      189.5       157       4023       1922.3  cuModuleGetLoadingMode             
      0.0             1455          2      727.5      727.5       367       1088        509.8  cudaGetDriverEntryPoint            

Processing [/scratch/deepseek-prof/profiles/nsys/serve_decode_heavy_c8_ks-testdlaembeddinggen_105108.sqlite] with [/opt/nvidia/nsight-systems/2026.1.3/target-linux-x64/reports/cuda_gpu_mem_time_sum.py]... 

 ** CUDA GPU MemOps Summary (by Time) (cuda_gpu_mem_time_sum):

 Time (%)  Total Time (ns)  Count  Avg (ns)  Med (ns)  Min (ns)  Max (ns)  StdDev (ns)            Operation           
 --------  ---------------  -----  --------  --------  --------  --------  -----------  ------------------------------
     92.0         21544223   3099    6952.0     480.0       448   7341331     136067.9  [CUDA memcpy Host-to-Device]  
      5.6          1316070   1031    1276.5    1280.0      1248      1536         23.4  [CUDA memcpy Device-to-Device]
      1.8           410434    343    1196.6    1152.0       768      2016        198.8  [CUDA memcpy Device-to-Host]  
      0.7           152321    300     507.7     512.0       480       896         26.0  [CUDA memset]                 

